game_id,name,game_slug,price,release_date,platform,description,developer,publisher,genres,Average hours played
495,Neurodeck,neurodeck,13.99,2021-03-18T17:00:00.000Z,"Windows,Mac","Neurodeck is a psychological deckbuilding card game to challenge your fears. Build your deck & capacities by answering personality tests, visiting rooms or meditating. Face your phobia and defeat them through the power of life-inspired cards.",TavroxGames,Goblinz Publishing,"INDIE,RPG,STRATEGY",34452.28
496,HyperParasite,hyperparasite,14.99,2021-03-19T15:00:00.000Z,Windows,"HyperParasite is a relentless top-down twin-stick shooter that’s different every time you play it. As a hostile parasitic alien, you'll jump from one human host to another,  utilizing each one's unique combat capabilities as you take on the whole human race!",Troglobytes Games,"Nicalis, Inc.","ACTION,ADVENTURE,ROGUE_LIKE",66934.36
497,Murder by Numbers,murder-by-numbers,14.99,2021-03-23T17:00:00.000Z,Windows,Solve Pixel Puzzles to find clues. Use those clues to interrogate witnesses. Work your way to the truth....and uncover the mystery of Murder by Numbers!,,,"ADVENTURE,PUZZLE,INDIE",18293.38
498,OCTOPATH TRAVELER™,octopath-traveler,59.99,2021-03-25T00:00:00.000Z,Windows,Eight travelers. Eight adventures. Eight roles to play. Embark on an epic journey across the vast and wondrous world of Orsterra and discover the captivating stories of each of the eight travelers.,"Square Enix, ACQUIRE Corp.",Square Enix,"RPG,SINGLE_PLAYER",41552.72
499,ELEX,elex,29.99,2021-03-25T15:00:00.000Z,Windows,"ELEX is a handcrafted action role-playing experience from the award-winning creators of the Gothic series, set in a brand new post-apocalyptic Science Fantasy universe.",Piranha Bytes,THQ Nordic,"RPG,ACTION,ADVENTURE",17326.56
500,Creature in the Well,creature-in-the-well,14.99,2021-03-25T15:00:00.000Z,Windows,"As the last remaining BOT-C unit, venture deep into a desert mountain to restore power to an ancient facility, haunted by a desperate Creature. Uncover and upgrade powerful gear in order to free the city of Mirage from a deadly sandstorm.",Flight School Studio,MWM Interactive ,"ACTION,INDIE,DUNGEON_CRAWLER",41013.65
501,Battle Chasers: Nightwar,battle-chasers-nightwar,29.99,2021-03-25T15:00:00.000Z,Windows,"Battle Chasers: Nightwar is an RPG inspired by the classic console greats, featuring deep dungeon diving, turn-based combat presented in a classic JRPG format, and a rich story driven by exploration of the world.",Airship Syndicate,THQ Nordic,"RPG,INDIE,ACTION",26616.63
502,The Fabled Woods,the-fabled-woods,9.99,2021-03-25T16:00:00.000Z,Windows,"The Fabled Woods, a dark and mysterious narrative short story. Despite the picturesque beauty, ugly and terrible secrets lurk among the shifting boughs; darkness that no amount of dappled sunlight can erase. Take the first step to an unforgettable journey.",CyberPunch Studios,Headup,"ADVENTURE,NARRATION,FIRST_PERSON",51084.42
503,The Tenants,the-tenants,19.99,2021-03-25T18:00:00.000Z,Windows,Become a landlord and deal with problematic tenants as you build your rental property empire. Decide how to react to annoyed neighbors or police interventions. Will you rent your apartment to a college couple or an older lady with four cats?,Ancient Forge Studio,Frozen District,"CITY_BUILDER,SIMULATION,EARLY_ACCESS",19303.35
504,Genesis Noir,genesis-noir,14.99,2021-03-26T14:00:00.000Z,"Mac,Windows","A noir adventure spanning time and space. When a love triangle between cosmic beings becomes a bitter confrontation, you'll witness a gunshot fired by a jealous god—The Big Bang. Jump into the expanding universe and search for a way to save your love.",Feral Cat Den,Fellow Traveller,"ADVENTURE,SINGLE_PLAYER,INDIE",18689.98
505,Hypnospace Outlaw,hypnospace-outlaw,19.99,2021-03-26T16:00:00.000Z,Windows,"Hypnospace Outlaw is a '90s internet simulator in which you scour Hypnospace's wide variety of weird and wonderful websites to hunt down wrongdoers, while also avoiding viruses and adware, and downloading a plethora of apps that may or may not be useful.",Tendershoot,No More Robots,"INDIE,SIMULATION,FANTASY",40172.30
506,"Yes, Your Grace",yes-your-grace,19.99,2021-03-26T16:00:00.000Z,Windows,"In this kingdom management RPG, petitioners will arrive in the throne room to ask for your advice and assistance. Decide whether to help them, or to conserve your resources. Remember: supplies are limited, and not everyone has your best interests at heart...",Brave At Night,No More Robots,"RPG,FANTASY,SINGLE_PLAYER",22680.23
507,Spacebase Startopia - Standard Edition,spacebase-startopia,39.99,2021-03-26T17:00:00.000Z,Windows,SPACEBASE STARTOPIA captivates with its original mixture of economic simulation and empire building strategy paired with classic RTS skirmishes and a good dose of humor.,Realmforge Studios,Kalypso Media,"STRATEGY,SIMULATION,BASE_BUILDING",6879.93
508,KINGDOM HEARTS HD 2.8 Final Chapter Prologue,kingdom-hearts-hd-2-8-final-chapter-prologue,59.99,2021-03-30T13:00:00.000Z,,"The KINGDOM HEARTS HD 2.8 Final Chapter Prologue features 3 magical experiences, all leading up to KINGDOM HEARTS III: - KINGDOM HEARTS Dream Drop Distance HD - KINGDOM HEARTS χ Back Cover (movie) - KINGDOM HEARTS 0.2 Birth by Sleep – A fragmentary passage –",Square Enix,Square Enix,"RPG,SINGLE_PLAYER",10495.45
509,KINGDOM HEARTS HD 1.5+2.5 ReMIX,kingdom-hearts-hd-1-5-2-5-remix,49.99,2021-03-30T13:00:00.000Z,Windows,KINGDOM HEARTS HD 1.5 + 2.5 ReMIX is an HD remastered collection of 6 unforgettable KINGDOM HEARTS experiences. KINGDOM HEARTS HD 1.5 + 2.5 ReMIX is the perfect opportunity to start wielding your Keyblade to save the Disney worlds from darkness.,Square Enix,Square Enix,"RPG,SINGLE_PLAYER",19034.43
510,KINGDOM HEARTS Melody of Memory,kingdom-hearts-melody-of-memory,59.99,2021-03-30T13:00:00.000Z,Windows,"Experience the music of KINGDOM HEARTS like never before! Melody of Memory is a rhythm action game featuring 20+ characters, 140+ music tracks, and online VS multiplayer mode. Explore the music and memories from the KINGDOM HEARTS series.",SQUARE ENIX,SQUARE ENIX,"SINGLE_PLAYER,FANTASY,MULTIPLAYER",22014.32
511,KINGDOM HEARTS III + Re Mind (DLC),kingdom-hearts-iii,59.99,2021-03-30T13:00:00.000Z,Windows,"KINGDOM HEARTS III + Re Mind (DLC) tells the power of friendship as Sora and his friends embark on a perilous adventure. Set in a vast array of Disney worlds, KINGDOM HEARTS follows the journey of Sora, a young boy and unknowing heir to a spectacular power.",Square Enix,Square Enix,"RPG,SINGLE_PLAYER",34661.44
512,Splinter Cell Chaos Theory,splinter-cell-chaos-theory,9.99,2021-03-30T15:00:00.000Z,Windows,The year is 2008. Citywide blackouts ... stock exchange sabotage ... electronic hijacking of national defense systems ... this is information warfare.,Ubisoft Montreal,Ubisoft,"ACTION,STEALTH,CO_OP,SHOOTER",51253.04
513,Narita Boy,narita-boy,24.99,2021-03-30T17:00:00.000Z,Windows,"Become symphonic in Narita Boy! A radical action-adventure as a legendary pixel hero trapped as a mere echo within the Digital Kingdom. Discover the mysteries behind the Techno-sword, lock swords with the corrupt and tainted Stallions. Save the world!",Studio Koba,Team17,"INDIE,ADVENTURE,SINGLE_PLAYER",37312.14
514,The Binding of Isaac: Repentance,the-binding-of-isaac-repentance,49.99,2021-03-31T07:00:00.000Z,Windows,"The Binding of Isaac: Repentance is the definitive version of Binding of Isaac, featuring all content from Rebirth, Afterbirth, and Afterbirth+, plus tons of all-new features and new gameplay. It's the ultimate edition of the genre-defining roguelike!",Nicalis Inc. | Edmund McMillen,Nicalis Inc.,"ROGUE_LIKE,ACTION,CO_OP",16437.71
515,Golazo,golazo,8.99,2021-03-31T17:00:00.000Z,Windows,"Golazo is a dynamic arcade football game with a medium-sized fields, no fouls and offsides whistled. Just pure fun!  Grab your pad, sit on the couch and play!",Purple Tree,Purple Tree,"SPORTS,ARCADE",55039.36
516,Tales of the Neon Sea,tales-of-the-neon-sea,16.99,2021-04-01T15:00:00.000Z,Windows,Welcome to a world of intrigue and suspicion. Where humans and robots contend with escalating tensions and mutual distrust. And where gangster felines scheme their way to the top of the food chain. Welcome to the Tales of the Neon Sea!, Palm Pioneer, Thermite Games,"ADVENTURE,PUZZLE,INVESTIGATION",10154.11
517,Oddworld: Soulstorm Enhanced Edition,oddworld-soulstorm,39.99,2021-04-05T22:00:00.000Z,Windows,"Soulstorm combines intense action-adventure platformer gameplay with a twisted tale of a society on the brink of revolution, where your moment to moment in-game choices will impact its outcome and there is more than one possible ending to experience.","Oddworld Inhabitants, Inc.","Oddworld Inhabitants, Inc.","PLATFORMER,ACTION,PUZZLE",19113.58
518,Lost Words: Beyond the Page,lost-words-beyond-the-page,14.99,2021-04-06T13:00:00.000Z,Windows,"Interact with the words inscribed in the pages of a young girl’s diary to solve puzzles, tackle unique platforming segments and discover an emotional tale set across the vibrant world of Estoria in Lost Words: Beyond the Page.","Sketchbook Games, Fourth State",Maximum Games,"PLATFORMER,ADVENTURE,INDIE",35717.32
519,Cozy Grove,cozy-grove,14.99,2021-04-08T04:00:00.000Z,Windows,"Welcome to Cozy Grove, a life-sim game about camping on a haunted, ever-changing island. As a Spirit Scout, you'll wander the island's forest each day, finding new hidden secrets and helping soothe the local ghosts.",Spry Fox,Spry Fox,"CASUAL,INVESTIGATION,INDIE",11476.19
